user_id,age,annual_income,country,duolingo_platform,duolingo_subscriber,duolingo_usage,employment_status,future_contact,gender,other_resources,primary_language_commitment,primary_language_review,primary_language_motivation,primary_language_motivation_followup,primary_language_proficiency,student,survey_complete,time_spent_seconds,duolingo_start_date,highest_course_progress,took_placement_test,purchased_subscription,highest_crown_count,n_active_days,n_lessons_started,n_lessons_completed,longest_streak,n_days_on_platform
35d30a1472c911e9af66dca9049399ef,18-34,"$151,000 or more",GB,iPhone or iPad,"No, I have never paid for Duolingo Plus",Weekly,Employed full-time,TRUE,Male,1,I'm slightly committed to learning this language.,I am using Duolingo to review a language I've studied before.,I want to use my time more productively,"I want to spend less time playing games,I want to spend less time watching or reading the news",Beginner,Not currently a student,TRUE,134,2017-09-21T15:08:00Z,14,FALSE,FALSE,27,28,29,29,13,409
35d30a9772c911e9b382dca9049399ef,55 - 74,"$76,000 - $150,000",JP,iPhone or iPad,"Yes, I currently pay for Duolingo Plus",Daily,Retired,TRUE,Male,3,I'm very committed to learning this language.,I am using Duolingo to learn this language for the first time.,I want to connect with my heritage or identity,,Beginner,Not currently a student,TRUE,169,2016-01-16T00:04:00Z,56,FALSE,TRUE,103,95,218,208,344,1023
35d30b2372c911e99491dca9049399ef,35 - 54,"$26,000 - $75,000",GB,iPhone or iPad,"No, I have never paid for Duolingo Plus",Less than once a month,Unemployed,TRUE,Female,1,I'm not at all committed to learning this language.,I am using Duolingo to review a language I've studied before.,I want my family to learn a language together,,Beginner,Not currently a student,TRUE,557,2016-12-03T13:06:00Z,11,FALSE,FALSE,20,2,4,3,0,701
35d30bc572c911e9a6afdca9049399ef,Under 18,"$0 - $10,000",MX,Android phone or tablet,"No, I have never paid for Duolingo Plus",Weekly,Unemployed,TRUE,Male,0,I'm slightly committed to learning this language.,I am using Duolingo to review a language I've studied before.,I want to use my time more productively,"I want to spend less time on social media,I want to spend less time playing games,Other (please specify)",Beginner,Part-time student,TRUE,156,2018-09-26T19:09:00Z,1,FALSE,FALSE,0,2,2,0,0,39
35d30cd172c911e9bd08dca9049399ef,55 - 74,"$11,000 - $25,000",MX,iPhone or iPad,"No, I have never paid for Duolingo Plus",Weekly,Employed part-time,FALSE,Female,1,I'm moderately committed to learning this language.,I am using Duolingo to learn this language for the first time.,I am interested in a culture that speaks this language,,Beginner,Not currently a student,TRUE,185,2018-06-03T16:38:00Z,11,FALSE,FALSE,27,28,230,173,8,154
35d30e6b72c911e9bccbdca9049399ef,18-34,"$0 - $10,000",BR,Web browser,"No, I have never paid for Duolingo Plus",Weekly,Unemployed,TRUE,Male,2,I'm moderately committed to learning this language.,I am using Duolingo to learn this language for the first time.,I am preparing for a trip,"I want to show respect by speaking the local language,I have an upcoming trip",Beginner,Full-time student,TRUE,352,2017-08-30T11:23:00Z,20,FALSE,FALSE,34,41,262,255,22,431
35d30eee72c911e9b154dca9049399ef,55 - 74,"$0 - $10,000",GB,iPhone or iPad,"No, I have never paid for Duolingo Plus",Daily,Unemployed,TRUE,Female,1,I'm moderately committed to learning this language.,I am using Duolingo to review a language I've studied before.,I want to connect with my heritage or identity,,Beginner,Not currently a student,TRUE,261,2018-05-03T06:15:00Z,18,FALSE,FALSE,140,94,867,834,186,185
35d30f7872c911e9ab71dca9049399ef,55 - 74,"$26,000 - $75,000",TW,iPhone or iPad,"No, I have never paid for Duolingo Plus",Daily,Retired,TRUE,Female,1,I'm very committed to learning this language.,I am using Duolingo to learn this language for the first time.,I am interested in a culture that speaks this language,,Intermediate,Not currently a student,TRUE,385,2017-03-22T23:36:00Z,38,FALSE,FALSE,199,85,452,401,320,592
35d3100572c911e9af1bdca9049399ef,35 - 54,"$11,000 - $25,000",GB,Web browser,"No, I have never paid for Duolingo Plus",Daily,No Response,FALSE,Female,2,I'm moderately committed to learning this language.,I am using Duolingo to review a language I've studied before.,I want to use my time more productively,"I want to spend less time on social media,I want to spend less time playing games,Other (please specify)",Intermediate,No Response,TRUE,327,2018-10-22T12:13:00Z,23,TRUE,FALSE,43,14,23,21,14,13
35d3109172c911e992e3dca9049399ef,35 - 54,"$0 - $10,000",US,iPhone or iPad,"No, I have never paid for Duolingo Plus",Weekly,Employed full-time,FALSE,Female,1,I'm moderately committed to learning this language.,I am using Duolingo to learn this language for the first time.,I want to use my time more productively,Other (please specify),Intermediate,Not currently a student,TRUE,235,2018-02-24T10:07:00Z,19,TRUE,FALSE,50,50,119,59,2,253
35d3111c72c911e989e4dca9049399ef,35 - 54,"$0 - $10,000",RU,Android phone or tablet,"No, I have never paid for Duolingo Plus",Monthly,Employed full-time,FALSE,Male,4,I'm slightly committed to learning this language.,I am using Duolingo to review a language I've studied before.,I want to use my time more productively,I want to spend less time watching or reading the news,Beginner,Not currently a student,TRUE,222,2012-11-26T09:42:00Z,1,FALSE,FALSE,0,1,1,1,1,2169
35d311a872c911e9ace1dca9049399ef,55 - 74,"$26,000 - $75,000",MX,Web browser,"Yes, I currently pay for Duolingo Plus",Daily,Retired,TRUE,Female,0,I'm moderately committed to learning this language.,I am using Duolingo to learn this language for the first time.,I am preparing for a trip,"I want to learn some basics in the local language,I have an upcoming trip,I am planning to move to a different country",Intermediate,Not currently a student,TRUE,487,2018-09-01T10:09:00Z,25,TRUE,TRUE,202,64,712,669,38,64
35d3123572c911e9ba13dca9049399ef,18-34,"$0 - $10,000",GB,iPhone or iPad,I don't know if I pay for Duolingo Plus,Weekly,Unemployed,FALSE,Female,3,I'm very committed to learning this language.,I am using Duolingo to learn this language for the first time.,I want my family to learn a language together,,Intermediate,Full-time student,TRUE,329,2018-10-16T11:32:00Z,25,TRUE,FALSE,38,3,9,5,2,19
35d312b572c911e99ae3dca9049399ef,35 - 54,"$76,000 - $150,000",MX,Android phone or tablet,"Yes, I currently pay for Duolingo Plus",Daily,Employed full-time,TRUE,Male,3,I'm extremely committed to learning this language.,I am using Duolingo to learn this language for the first time.,I want to improve relationships with some of the people in my life,"I want to better communicate with people in my community (neighbors, coworkers, etc.),I want to learn this language together with my family",Beginner,Not currently a student,TRUE,403,2016-11-18T18:43:00Z,47,FALSE,TRUE,92,90,93,82,642,716
35d3134272c911e9ad6adca9049399ef,35 - 54,"$0 - $10,000",GB,iPhone or iPad,"No, I have never paid for Duolingo Plus",Daily,Employed part-time,FALSE,Female,2,I'm slightly committed to learning this language.,I am using Duolingo to learn this language for the first time.,I want to connect with my heritage or identity,,Beginner,Not currently a student,TRUE,269,2017-01-26T12:50:00Z,32,FALSE,FALSE,94,86,271,227,68,647
35d313c772c911e985b4dca9049399ef,35 - 54,"$0 - $10,000",RU,Android phone or tablet,"No, I have never paid for Duolingo Plus",Daily,Employed full-time,TRUE,Male,1,I'm very committed to learning this language.,I am using Duolingo to review a language I've studied before.,I need to be able to speak the local language where I live,I am studying abroad,Intermediate,Not currently a student,TRUE,297,2016-04-19T21:56:00Z,30,TRUE,FALSE,146,15,142,145,13,929
35d3145c72c911e98ea7dca9049399ef,18-34,"$0 - $10,000",FR,iPhone or iPad,"No, I have never paid for Duolingo Plus",Monthly,Employed full-time,TRUE,Male,1,I'm moderately committed to learning this language.,I am using Duolingo to learn this language for the first time.,I need to be able to speak the local language where I live,"I am an immigrant,I am a refugee",Beginner,Full-time student,TRUE,293,2017-04-11T16:05:00Z,9,FALSE,FALSE,13,4,20,20,3,572
35d314e672c911e9930bdca9049399ef,55 - 74,"$0 - $10,000",MX,Android phone or tablet,"No, I have never paid for Duolingo Plus",Daily,Employed full-time,TRUE,Male,3,I'm moderately committed to learning this language.,I am using Duolingo to review a language I've studied before.,I am preparing for a trip,"I want to communicate with locals in a meaningful way,Someday I would like to travel to a country that uses this language",Beginner,Not currently a student,TRUE,391,2018-09-09T16:06:00Z,5,TRUE,FALSE,14,26,72,71,7,56
35d3156b72c911e9b55ddca9049399ef,18-34,"$0 - $10,000",BR,Android phone or tablet,I don't know if I pay for Duolingo Plus,Daily,Employed full-time,TRUE,Male,1,I'm very committed to learning this language.,I am using Duolingo to learn this language for the first time.,I want to keep my brain healthy,,Beginner,Not currently a student,TRUE,555,2018-07-10T00:38:00Z,12,FALSE,FALSE,83,32,309,279,6,117
35d3166e72c911e9907cdca9049399ef,55 - 74,"$11,000 - $25,000",RU,iPhone or iPad,"Yes, I currently pay for Duolingo Plus",Daily,Employed full-time,TRUE,Female,1,I'm moderately committed to learning this language.,I am using Duolingo to learn this language for the first time.,I need to be able to speak the local language where I live,,Beginner,Not currently a student,TRUE,296,2014-03-14T00:33:00Z,34,TRUE,TRUE,62,42,164,158,38,1696
35d316fa72c911e9b580dca9049399ef,55 - 74,No Response,FR,Android phone or tablet,"Yes, I currently pay for Duolingo Plus",Daily,Employed part-time,FALSE,Female,1,I'm very committed to learning this language.,I am using Duolingo to review a language I've studied before.,I want to keep my brain healthy,,Beginner,No Response,TRUE,341,2018-04-23T10:25:00Z,31,TRUE,TRUE,223,92,652,619,106,195
35d3191472c911e9b14adca9049399ef,55 - 74,"$11,000 - $25,000",JP,iPhone or iPad,"No, I have never paid for Duolingo Plus",Daily,Employed full-time,TRUE,Female,0,I'm moderately committed to learning this language.,I am using Duolingo to learn this language for the first time.,I am interested in a culture that speaks this language,"To better understand the ""pop culture"" in this language",Beginner,Not currently a student,TRUE,257,2015-12-20T04:03:00Z,50,TRUE,FALSE,91,93,185,113,20,1050
35d319e672c911e9b922dca9049399ef,Under 18,"$0 - $10,000",CO,iPhone or iPad,"No, I have never paid for Duolingo Plus",Daily,No Response,TRUE,Female,0,I'm very committed to learning this language.,I am using Duolingo to learn this language for the first time.,I want to use my time more productively,,Beginner,Full-time student,TRUE,499,2018-11-01T14:50:00Z,4,FALSE,FALSE,8,4,53,37,3,3
35d31a7372c911e9ad52dca9049399ef,55 - 74,"$26,000 - $75,000",RU,Android phone or tablet,"Yes, I currently pay for Duolingo Plus",Daily,Employed full-time,FALSE,Male,3,I'm very committed to learning this language.,I am using Duolingo to review a language I've studied before.,I am interested in a culture that speaks this language,Other (please specify),Advanced,Not currently a student,TRUE,664,2017-09-28T22:40:00Z,34,TRUE,TRUE,300,79,615,607,55,402
